Date,Open,High,Low,Close,Adj Close,Volume
2019-04-02,57.575001,58.044998,57.380001,57.794998,57.390522,1291000
2019-04-03,57.895000,58.029999,57.570000,57.660000,57.256470,967600
2019-04-04,57.395000,57.419998,56.869999,57.049999,56.650738,1305800
2019-04-05,57.424999,57.564999,57.075001,57.139999,56.740108,782000
2019-04-08,56.700001,57.134998,56.560001,57.125000,56.725212,962200
2019-04-09,56.645000,57.220001,56.485001,57.029999,56.630878,1294000
2019-04-10,56.314999,56.525002,55.900002,56.514999,56.119484,2023800
2019-04-11,56.625000,56.840000,56.235001,56.459999,56.064865,834200
2019-04-12,56.705002,56.744999,56.529999,56.715000,56.318085,880400
2019-04-15,56.865002,57.139999,56.700001,57.070000,56.670597,876600
2019-04-16,57.290001,57.820000,57.220001,57.715000,57.311085,643400
2019-04-17,57.939999,58.055000,57.310001,57.720001,57.316048,1345400
2019-04-18,57.570000,57.994999,57.445000,57.959999,57.554371,1074000
2019-04-22,56.950001,57.685001,56.514999,57.549999,57.147236,1183800
2019-04-23,57.064999,57.290001,56.525002,57.084999,56.685490,1322600
2019-04-24,57.310001,58.115002,57.189999,58.000000,57.594093,1554400
2019-04-25,57.455002,57.645000,56.759998,57.419998,57.018147,1969400
2019-04-26,57.560001,57.924999,57.375000,57.595001,57.191925,1019400
2019-04-29,57.544998,57.785000,56.985001,57.270000,56.869198,907000
2019-04-30,57.505001,57.799999,57.235001,57.325001,56.923817,1471000
2019-05-01,57.605000,58.785000,57.369999,58.099998,57.693390,1242800
2019-05-02,58.840000,59.915001,58.660000,59.639999,59.222610,1298600
2019-05-03,59.799999,60.320000,59.580002,59.945000,59.525478,1452200
2019-05-06,59.049999,59.355000,58.610001,59.215000,58.800587,928800
2019-05-07,58.834999,59.040001,58.474998,58.680000,58.269329,1513800
2019-05-08,58.419998,58.419998,57.555000,57.779999,57.375626,1414400
2019-05-09,57.485001,58.070000,57.125000,57.950001,57.544441,1042000
2019-05-10,58.080002,58.775002,57.939999,58.560001,58.150173,925800
2019-05-13,57.724998,57.845001,57.160000,57.730000,57.325977,866400
2019-05-14,58.150002,58.595001,57.590000,58.084999,57.678493,897200
2019-05-15,57.930000,58.134998,57.365002,57.445000,57.042976,1099400
2019-05-16,58.000000,58.770000,57.950001,58.509998,58.100517,1561800
2019-05-17,58.759998,59.154999,58.250000,58.450001,58.040943,2165600
2019-05-20,60.264999,62.275002,60.160000,61.939999,61.506516,4291200
2019-05-21,61.384998,61.525002,60.605000,61.500000,61.069599,1864600
2019-05-22,61.500000,61.669998,61.224998,61.355000,60.925610,1293600
2019-05-23,59.849998,59.990002,59.500000,59.700001,59.282192,2049200
2019-05-24,60.450001,61.650002,60.419998,61.360001,60.930576,1505600
2019-05-28,61.369999,62.139999,61.369999,62.009998,61.576023,1750800
2019-05-29,61.779999,61.895000,61.215000,61.639999,61.208618,1199800
2019-05-30,62.095001,62.360001,61.820000,61.980000,61.546238,900200
2019-05-31,61.500000,62.095001,61.365002,62.080002,61.645538,902400
2019-06-03,62.500000,63.654999,62.500000,63.020000,62.578960,1389800
2019-06-04,63.299999,63.634998,62.259998,63.630001,63.184689,2214000
2019-06-05,63.869999,64.400002,63.404999,64.014999,63.566994,1436600
2019-06-06,63.500000,63.935001,62.939999,63.869999,63.423008,1608000
